"Restaurant_ID","DinnerPrice","LunchPrice","Price_Category"
"208","￥3000～￥3999","￥1000～￥1999","中價位"
"209","￥3000～￥3999","￥1000～￥1999","中價位"
"210","￥8000～￥9999","","高價位"
"211","￥4000～￥4999","","中價位"
"212","￥6000～￥7999","￥4000～￥4999","高價位"
"213","￥6000～￥7999","￥3000～￥3999","高價位"
"214","￥15000～￥19999","￥15000～￥19999","頂級"
"215","￥3000～￥3999","","中價位"
"216","￥3000～￥3999","","中價位"
"217","￥3000～￥3999","","中價位"
"218","￥2000～￥2999","","中價位"
"219","￥4000～￥4999","","中價位"
"220","￥4000～￥4999","","中價位"
"221","￥4000～￥4999","","中價位"
"222","￥3000～￥3999","","中價位"
"223","￥3000～￥3999","￥1000～￥1999","中價位"
"224","￥20000～￥29999","￥10000～￥14999","頂級"
"225","￥3000～￥3999","","中價位"
"226","￥3000～￥3999","","中價位"
"227","￥3000～￥3999","","中價位"
"228","￥1000～￥1999","","平價"
"229","￥3000～￥3999","","中價位"
"230","￥8000～￥9999","￥5000～￥5999","高價位"
"231","￥3000～￥3999","","中價位"
"232","￥1000～￥1999"," ～￥999","平價"
"233","￥2000～￥2999","","中價位"
"234","￥4000～￥4999","￥1000～￥1999","中價位"
"235","￥2000～￥2999","","中價位"
"236","￥3000～￥3999","","中價位"
"237","￥5000～￥5999","￥3000～￥3999","中價位"
"238","￥2000～￥2999","","中價位"
"239","￥2000～￥2999"," ～￥999","平價"
"240","￥3000～￥3999","","中價位"
"241","￥4000～￥4999","￥1000～￥1999","中價位"
"242","￥4000～￥4999","￥1000～￥1999","中價位"
"243","￥2000～￥2999"," ～￥999","平價"
"244","￥3000～￥3999","","中價位"
"245","￥2000～￥2999","","中價位"
"246","￥4000～￥4999","","中價位"
"247","￥3000～￥3999","","中價位"
"248","￥3000～￥3999","","中價位"
"249","￥3000～￥3999","","中價位"
"250","￥3000～￥3999","","中價位"
"251","￥4000～￥4999","","中價位"
"252","￥3000～￥3999","","中價位"
"253","￥1000～￥1999"," ～￥999","平價"
"254","￥3000～￥3999","","中價位"
"255","￥10000～￥14999","￥4000～￥4999","高價位"
"256","￥5000～￥5999","","高價位"
"257","￥4000～￥4999","￥1000～￥1999","中價位"
"258","￥3000～￥3999","","中價位"
"259","￥2000～￥2999"," ～￥999","平價"
"260","￥1000～￥1999"," ～￥999","平價"
"261","￥2000～￥2999"," ～￥999","平價"
"262","￥3000～￥3999","","中價位"
"263","￥2000～￥2999","","中價位"
"264","￥6000～￥7999","￥2000～￥2999","中價位"
"265","￥2000～￥2999","","中價位"
"266","￥4000～￥4999","","中價位"
"267","￥3000～￥3999","","中價位"
"268","￥3000～￥3999","","中價位"
"269","￥3000～￥3999","￥1000～￥1999","中價位"
"270","￥4000～￥4999","","中價位"
"271","￥5000～￥5999","￥2000～￥2999","中價位"
"272","￥4000～￥4999","￥1000～￥1999","中價位"
"273","￥3000～￥3999","","中價位"
"274","￥3000～￥3999","","中價位"
"275","￥4000～￥4999","","中價位"
"276","￥3000～￥3999","","中價位"
"277","￥3000～￥3999","","中價位"
"278","￥3000～￥3999"," ～￥999","中價位"
"279","￥3000～￥3999","","中價位"
"280","￥3000～￥3999","","中價位"
"281","￥3000～￥3999","","中價位"
"282","￥4000～￥4999","￥1000～￥1999","中價位"
"283","￥4000～￥4999","","中價位"
"284","￥1000～￥1999","￥1000～￥1999","平價"
"285","￥4000～￥4999","￥2000～￥2999","中價位"
"286","￥3000～￥3999","","中價位"
"287","￥3000～￥3999","￥3000～￥3999","中價位"
"288","￥4000～￥4999","￥1000～￥1999","中價位"
"289","￥5000～￥5999","","高價位"
"290","￥2000～￥2999","","中價位"
"291","￥3000～￥3999","￥1000～￥1999","中價位"
"292","￥6000～￥7999","￥2000～￥2999","中價位"
"293","￥3000～￥3999","","中價位"
"294","￥3000～￥3999"," ～￥999","中價位"
"295","￥3000～￥3999","","中價位"
"296","￥4000～￥4999","","中價位"
"297","￥4000～￥4999","￥1000～￥1999","中價位"
"298","￥4000～￥4999","","中價位"
"299","￥8000～￥9999","￥2000～￥2999","高價位"
"300","￥10000～￥14999","￥10000～￥14999","頂級"
"301","￥10000～￥14999","￥10000～￥14999","頂級"
"302","￥4000～￥4999"," ～￥999","中價位"
"303","￥4000～￥4999","","中價位"
"304","￥8000～￥9999","￥3000～￥3999","高價位"
"305","￥8000～￥9999","","高價位"
"306","￥3000～￥3999","","中價位"
"307","￥4000～￥4999","","中價位"
"308","￥4000～￥4999","￥1000～￥1999","中價位"
"309","￥3000～￥3999","","中價位"
"310","￥3000～￥3999","","中價位"
"311","￥3000～￥3999","","中價位"
"312","￥6000～￥7999","","高價位"
"313","￥3000～￥3999","￥1000～￥1999","中價位"
"314","￥5000～￥5999","￥1000～￥1999","中價位"
"315","￥5000～￥5999","","高價位"
"316","￥3000～￥3999"," ～￥999","中價位"
"317","￥4000～￥4999","","中價位"
"318","￥3000～￥3999","","中價位"
"319","￥3000～￥3999","","中價位"
"320","￥3000～￥3999","","中價位"
"321","￥4000～￥4999","￥1000～￥1999","中價位"
"322","￥3000～￥3999","￥3000～￥3999","中價位"
"323","￥10000～￥14999","￥5000～￥5999","高價位"
"324","￥3000～￥3999","￥4000～￥4999","中價位"
"325","￥2000～￥2999","","中價位"
"326","￥5000～￥5999","","高價位"
"327","￥3000～￥3999","","中價位"
"328","￥6000～￥7999","￥3000～￥3999","高價位"
"329","￥3000～￥3999","￥1000～￥1999","中價位"
"330","￥3000～￥3999","","中價位"
"331","￥4000～￥4999","","中價位"
"332","￥4000～￥4999","","中價位"
"333","￥3000～￥3999","","中價位"
"334","￥6000～￥7999","￥3000～￥3999","高價位"
"335","￥3000～￥3999"," ～￥999","中價位"
"336","￥3000～￥3999","","中價位"
"337","￥1000～￥1999"," ～￥999","平價"
"338","￥3000～￥3999","","中價位"
"339","￥3000～￥3999","","中價位"
"340","￥2000～￥2999"," ～￥999","平價"
"341","￥3000～￥3999","","中價位"
"342","￥5000～￥5999","","高價位"
"343","￥2000～￥2999"," ～￥999","平價"
"344","￥2000～￥2999"," ～￥999","平價"
"345","￥3000～￥3999","","中價位"
"346","￥4000～￥4999","","中價位"
"347","￥10000～￥14999","￥5000～￥5999","高價位"
"348","￥3000～￥3999","","中價位"
"349","￥2000～￥2999"," ～￥999","平價"
"350","￥6000～￥7999","￥2000～￥2999","中價位"
"351","￥2000～￥2999","","中價位"
"352","￥2000～￥2999"," ～￥999","平價"
"353","￥2000～￥2999","￥1000～￥1999","平價"
"354","￥2000～￥2999"," ～￥999","平價"
"355","￥2000～￥2999","","中價位"
"356","￥5000～￥5999","￥1000～￥1999","中價位"
"357","￥5000～￥5999","￥2000～￥2999","中價位"
"358","￥5000～￥5999","","高價位"
"359","￥10000～￥14999","","頂級"
"360","￥3000～￥3999"," ～￥999","中價位"
"361","￥2000～￥2999","","中價位"
"362","￥3000～￥3999","","中價位"
"363","￥1000～￥1999","￥1000～￥1999","平價"
"364","￥3000～￥3999"," ～￥999","中價位"
"365","￥6000～￥7999","￥3000～￥3999","高價位"
"366","￥4000～￥4999","","中價位"
"367","￥4000～￥4999","","中價位"
"368","￥6000～￥7999","","高價位"
"369","￥4000～￥4999","","中價位"
"370","￥5000～￥5999","￥4000～￥4999","中價位"
"371","￥1000～￥1999"," ～￥999","平價"
"372","￥5000～￥5999","","高價位"
"373","￥3000～￥3999","","中價位"
"374","￥3000～￥3999","","中價位"
"375","￥3000～￥3999","￥1000～￥1999","中價位"
"376","￥3000～￥3999","￥1000～￥1999","中價位"
"377","￥2000～￥2999","","中價位"
"378","￥5000～￥5999","￥2000～￥2999","中價位"
"379","￥1000～￥1999","￥1000～￥1999","平價"
"380","￥5000～￥5999","￥2000～￥2999","中價位"
"381","￥2000～￥2999","","中價位"
"382","￥10000～￥14999","￥3000～￥3999","高價位"
"383","￥3000～￥3999"," ～￥999","中價位"
"384","￥4000～￥4999","￥2000～￥2999","中價位"
"385","￥10000～￥14999","","頂級"
"386","￥10000～￥14999","￥3000～￥3999","高價位"
"387","￥3000～￥3999","","中價位"
"388","￥2000～￥2999","￥2000～￥2999","中價位"
"389","￥4000～￥4999","","中價位"
"390","￥4000～￥4999","","中價位"
"391","￥6000～￥7999","￥4000～￥4999","高價位"
"392","￥3000～￥3999","￥1000～￥1999","中價位"
"393","￥3000～￥3999","￥1000～￥1999","中價位"
"394","￥5000～￥5999","","高價位"
"395","￥3000～￥3999","￥1000～￥1999","中價位"
"396","￥5000～￥5999","￥3000～￥3999","中價位"
"397","￥3000～￥3999","￥1000～￥1999","中價位"
"398","￥3000～￥3999","￥1000～￥1999","中價位"
"399","￥3000～￥3999","","中價位"
"400","￥1000～￥1999","￥3000～￥3999","中價位"
"401","￥5000～￥5999","","高價位"
"402","￥8000～￥9999","￥4000～￥4999","高價位"
"403","￥1000～￥1999"," ～￥999","平價"
"404","￥4000～￥4999","￥1000～￥1999","中價位"
"405","￥8000～￥9999","","高價位"
"406","￥5000～￥5999","","高價位"
"407","￥3000～￥3999","￥1000～￥1999","中價位"
"408","￥5000～￥5999","","高價位"
"409","￥3000～￥3999"," ～￥999","中價位"
"410","￥5000～￥5999","￥2000～￥2999","中價位"
"411","￥5000～￥5999","￥2000～￥2999","中價位"
"412","￥5000～￥5999","￥3000～￥3999","中價位"
"413","￥3000～￥3999","￥1000～￥1999","中價位"
"414","￥3000～￥3999","","中價位"
"415","￥3000～￥3999","","中價位"
"416","￥2000～￥2999","","中價位"
"417","￥2000～￥2999","","中價位"
"418","￥4000～￥4999","","中價位"
"419","￥4000～￥4999"," ～￥999","中價位"
"420","￥2000～￥2999","","中價位"
"421","￥2000～￥2999","","中價位"
"422","￥3000～￥3999","","中價位"
"423","￥10000～￥14999","￥4000～￥4999","高價位"
"424","￥2000～￥2999","","中價位"
"425","￥3000～￥3999","","中價位"
"426","￥2000～￥2999","","中價位"
"427","￥3000～￥3999","￥2000～￥2999","中價位"
"428","￥4000～￥4999","￥3000～￥3999","中價位"
"429","￥3000～￥3999"," ～￥999","中價位"
"430","￥3000～￥3999","￥1000～￥1999","中價位"
"431","￥8000～￥9999","￥3000～￥3999","高價位"
"432","￥2000～￥2999"," ～￥999","平價"
"433","￥6000～￥7999","￥3000～￥3999","高價位"
"434","￥3000～￥3999","￥1000～￥1999","中價位"
"435","￥3000～￥3999"," ～￥999","中價位"
"436","￥2000～￥2999"," ～￥999","平價"
"437","￥3000～￥3999"," ～￥999","中價位"
"438","￥4000～￥4999","￥1000～￥1999","中價位"
"439","￥6000～￥7999","￥2000～￥2999","中價位"
"440","￥5000～￥5999","￥2000～￥2999","中價位"
"441","￥3000～￥3999","￥1000～￥1999","中價位"
"442","￥4000～￥4999","￥1000～￥1999","中價位"
"443","￥1000～￥1999","￥1000～￥1999","平價"
"444","￥10000～￥14999","￥4000～￥4999","高價位"
"445","￥2000～￥2999","","中價位"
"446","￥3000～￥3999","￥1000～￥1999","中價位"
"447","￥5000～￥5999","","高價位"
"448","￥10000～￥14999","￥5000～￥5999","高價位"
"449","￥4000～￥4999","","中價位"
"450","￥3000～￥3999","","中價位"
"451","￥4000～￥4999"," ～￥999","中價位"
"452","￥3000～￥3999"," ～￥999","中價位"
"453","￥3000～￥3999","￥1000～￥1999","中價位"
"454","￥3000～￥3999","","中價位"
"455","￥3000～￥3999","￥3000～￥3999","中價位"
"456","￥4000～￥4999","￥1000～￥1999","中價位"
"457","￥6000～￥7999","￥3000～￥3999","高價位"
"458","￥3000～￥3999","","中價位"
"459","￥4000～￥4999","","中價位"
"460","￥2000～￥2999","","中價位"
"461","￥3000～￥3999"," ～￥999","中價位"
"462","￥1000～￥1999"," ～￥999","平價"
"463","￥3000～￥3999","","中價位"
"464","￥4000～￥4999"," ～￥999","中價位"
"465","￥2000～￥2999","￥1000～￥1999","平價"
"466","￥3000～￥3999","","中價位"
"467","￥10000～￥14999","￥1000～￥1999","高價位"
"468","￥3000～￥3999","","中價位"
"469","￥8000～￥9999","￥3000～￥3999","高價位"
"470","￥6000～￥7999","￥3000～￥3999","高價位"
"471","￥8000～￥9999","￥5000～￥5999","高價位"
"472","￥3000～￥3999","￥1000～￥1999","中價位"
"473","￥3000～￥3999","","中價位"
"474","￥4000～￥4999","￥2000～￥2999","中價位"
"475","￥3000～￥3999"," ～￥999","中價位"
"476","￥3000～￥3999"," ～￥999","中價位"
"477","￥3000～￥3999","","中價位"
"478","￥4000～￥4999","","中價位"
"479","￥1000～￥1999","￥1000～￥1999","平價"
"480","￥3000～￥3999","","中價位"
"481","￥1000～￥1999"," ～￥999","平價"
"482","￥3000～￥3999","","中價位"
"483","￥6000～￥7999","￥1000～￥1999","中價位"
"484","￥3000～￥3999","","中價位"
"485"," ～￥999","￥1000～￥1999","平價"
"486","￥4000～￥4999","","中價位"
"487","￥3000～￥3999","","中價位"
"488","￥2000～￥2999","","中價位"
"489","￥8000～￥9999","￥1000～￥1999","高價位"
"490","￥4000～￥4999","￥1000～￥1999","中價位"
"491","￥2000～￥2999","","中價位"
"492","￥4000～￥4999","","中價位"
"493","￥2000～￥2999","￥1000～￥1999","平價"
"494","￥3000～￥3999","","中價位"
"495","￥3000～￥3999","","中價位"
"496","￥3000～￥3999","","中價位"
"497","￥3000～￥3999"," ～￥999","中價位"
"498","￥8000～￥9999","￥2000～￥2999","高價位"
"499","￥3000～￥3999","","中價位"
"500","￥2000～￥2999","","中價位"
"501","￥3000～￥3999","￥2000～￥2999","中價位"
"502","￥20000～￥29999","￥6000～￥7999","頂級"
"503","￥4000～￥4999","￥2000～￥2999","中價位"
"504","￥8000～￥9999","￥3000～￥3999","高價位"
"505","￥10000～￥14999","￥1000～￥1999","高價位"
"506","￥1000～￥1999"," ～￥999","平價"
"507","￥2000～￥2999","￥1000～￥1999","平價"
"508","￥5000～￥5999","￥2000～￥2999","中價位"
"509","￥6000～￥7999","￥3000～￥3999","高價位"
"510","￥3000～￥3999","","中價位"
"511","￥2000～￥2999","","中價位"
"512","￥8000～￥9999","￥3000～￥3999","高價位"
"513","￥4000～￥4999","￥1000～￥1999","中價位"
"514","￥3000～￥3999","￥1000～￥1999","中價位"
"515","￥2000～￥2999"," ～￥999","平價"
"516","￥6000～￥7999","￥2000～￥2999","中價位"
"517","￥3000～￥3999"," ～￥999","中價位"
"518","￥4000～￥4999","","中價位"
"519","￥4000～￥4999","￥2000～￥2999","中價位"
"520","￥10000～￥14999","￥4000～￥4999","高價位"
"521","￥3000～￥3999","","中價位"
"522","￥3000～￥3999","","中價位"
"523","￥3000～￥3999"," ～￥999","中價位"
"524","￥2000～￥2999","","中價位"
"525","￥5000～￥5999","￥2000～￥2999","中價位"
"526","￥5000～￥5999","","高價位"
"527","￥4000～￥4999","","中價位"
"528","￥4000～￥4999","￥1000～￥1999","中價位"
"529","￥4000～￥4999","￥3000～￥3999","中價位"
"530","￥4000～￥4999","","中價位"
"531","￥2000～￥2999","","中價位"
"532","￥3000～￥3999"," ～￥999","中價位"
"533","￥3000～￥3999"," ～￥999","中價位"
"534","￥4000～￥4999","￥2000～￥2999","中價位"
"535","￥8000～￥9999","","高價位"
"536","￥2000～￥2999"," ～￥999","平價"
"537","￥2000～￥2999","","中價位"
"538","￥6000～￥7999","￥3000～￥3999","高價位"
"539","￥4000～￥4999","￥1000～￥1999","中價位"
"540","￥2000～￥2999"," ～￥999","平價"
"541","￥3000～￥3999","","中價位"
"542","￥2000～￥2999","","中價位"
"543","￥1000～￥1999","￥1000～￥1999","平價"
"544","￥3000～￥3999","￥2000～￥2999","中價位"
"545","￥3000～￥3999","￥1000～￥1999","中價位"
"546","￥8000～￥9999","","高價位"
"547","￥3000～￥3999","","中價位"
"548","￥1000～￥1999"," ～￥999","平價"
"549","￥5000～￥5999","","高價位"
"550","￥5000～￥5999","￥1000～￥1999","中價位"
"551","￥8000～￥9999","","高價位"
"552","￥4000～￥4999","￥1000～￥1999","中價位"
"553","￥4000～￥4999","￥1000～￥1999","中價位"
"554","￥4000～￥4999","","中價位"
"555","￥1000～￥1999"," ～￥999","平價"
"556","￥4000～￥4999","￥1000～￥1999","中價位"
"557","￥3000～￥3999","","中價位"
"558","￥5000～￥5999","","高價位"
"559","￥3000～￥3999","￥1000～￥1999","中價位"
"560","￥3000～￥3999","","中價位"
"561","￥4000～￥4999","","中價位"
"562","￥10000～￥14999","￥4000～￥4999","高價位"
"563","￥3000～￥3999","","中價位"
"564","￥3000～￥3999","￥2000～￥2999","中價位"
"565","￥5000～￥5999","￥3000～￥3999","中價位"
"566","￥5000～￥5999","","高價位"
"567","￥2000～￥2999"," ～￥999","平價"
"568","￥3000～￥3999"," ～￥999","中價位"
"569","￥4000～￥4999","","中價位"
"570","￥2000～￥2999","","中價位"
"571","￥8000～￥9999","￥3000～￥3999","高價位"
"572","￥2000～￥2999","","中價位"
"573","￥6000～￥7999","￥3000～￥3999","高價位"
"574","￥15000～￥19999","￥8000～￥9999","頂級"
"575","￥10000～￥14999","￥3000～￥3999","高價位"
"576","￥3000～￥3999","￥1000～￥1999","中價位"
"577","￥6000～￥7999","￥3000～￥3999","高價位"
"578","￥5000～￥5999","￥5000～￥5999","高價位"
"579","￥3000～￥3999","","中價位"
"580","￥1000～￥1999","￥1000～￥1999","平價"
"581","￥4000～￥4999","￥3000～￥3999","中價位"
"582","￥2000～￥2999","","中價位"
"583","￥8000～￥9999","￥4000～￥4999","高價位"
"584","￥2000～￥2999","","中價位"
"585","￥5000～￥5999","","高價位"
"586","￥3000～￥3999"," ～￥999","中價位"
"587","￥3000～￥3999","","中價位"
"588","￥2000～￥2999","￥2000～￥2999","中價位"
"589","￥8000～￥9999","","高價位"
"590","￥4000～￥4999","","中價位"
"591","￥4000～￥4999"," ～￥999","中價位"
"592","￥3000～￥3999","￥1000～￥1999","中價位"
"593","￥2000～￥2999"," ～￥999","平價"
"594","￥3000～￥3999","","中價位"
"595","￥2000～￥2999","","中價位"
"596","￥4000～￥4999","","中價位"
"597","￥5000～￥5999","","高價位"
"598","￥6000～￥7999","￥3000～￥3999","高價位"
"599","￥4000～￥4999","","中價位"
"600","￥4000～￥4999","￥2000～￥2999","中價位"
"601","￥2000～￥2999","","中價位"
"602","￥4000～￥4999","","中價位"
"603","￥4000～￥4999","","中價位"
"604","￥4000～￥4999","￥1000～￥1999","中價位"
